file,chat_read,chat_respond,chatbadges,profile_image,timestamp,donations,viewer_counts,consolidated_with_source_common
_integration_template.js,yes,yes,yes,yes,no,yes,no,no
afreecatv.js,yes,yes,yes,yes,no,yes,no,no
amazon.js,yes,yes,yes,yes,no,yes,no,no
arena.js,yes,yes,yes,yes,no,yes,yes,no
arenasocial.js,yes,yes,yes,yes,no,yes,yes,no
autoreload.js,no,no,no,no,no,no,no,no
bandlab.js,yes,yes,yes,yes,no,yes,no,yes
beamstream.js,yes,yes,yes,yes,no,yes,no,no
bigo.js,yes,yes,yes,yes,no,yes,no,yes
bilibili.js,yes,yes,yes,yes,no,yes,no,no
bilibilicom.js,yes,yes,yes,yes,no,yes,no,no
bitchute.js,yes,yes,yes,yes,no,yes,no,no
blaze.js,yes,yes,yes,yes,no,yes,yes,no
boltplus.js,yes,yes,yes,yes,no,yes,no,no
buzzit.js,yes,yes,yes,yes,no,yes,no,no
camsoda.js,yes,yes,yes,yes,no,yes,yes,no
capturevideo.js,no,no,no,no,yes,yes,yes,no
castr.js,yes,yes,yes,yes,no,yes,no,no
cbox.js,yes,yes,yes,yes,no,yes,no,no
chatroll.js,yes,yes,yes,yes,no,yes,no,no
chaturbate.js,yes,yes,no,no,no,yes,no,no
cherrytv.js,yes,yes,no,yes,no,no,no,no
chime.js,yes,yes,yes,yes,no,yes,no,no
chzzk.js,yes,yes,yes,yes,no,yes,no,no
circle.js,yes,yes,yes,yes,no,yes,no,no
cloudhub.js,yes,yes,yes,yes,no,yes,no,no
cozy.js,yes,yes,yes,yes,no,yes,no,no
crowdcast.js,yes,yes,yes,yes,no,yes,no,no
discord.js,yes,yes,yes,yes,no,yes,no,no
dlive.js,yes,yes,yes,yes,no,yes,no,no
ebay.js,yes,yes,yes,yes,no,yes,yes,no
estrim.js,yes,yes,yes,yes,no,yes,no,no
facebook.js,yes,yes,yes,yes,no,yes,yes,no
fansly.js,yes,yes,yes,yes,no,yes,no,no
favorited.js,yes,yes,yes,yes,no,yes,no,no
fc2.js,yes,yes,yes,yes,no,yes,no,no
floatplane.js,yes,yes,yes,yes,no,yes,no,no
gala.js,yes,yes,yes,yes,no,yes,no,no
generic.js,yes,yes,yes,yes,yes,yes,yes,no
grabvideo.js,no,no,no,no,yes,no,yes,no
instafeed.js,yes,yes,yes,yes,no,yes,no,no
instagram.js,yes,yes,yes,yes,no,yes,yes,no
instagramlive.js,yes,yes,yes,yes,no,yes,yes,no
jaco.js,yes,yes,yes,yes,no,yes,no,no
joystick.js,yes,yes,yes,yes,no,yes,no,no
kick.js,yes,yes,yes,yes,yes,yes,yes,no
kick_new.js,yes,yes,yes,yes,no,yes,yes,no
kiwiirc.js,yes,yes,yes,yes,no,yes,no,no
kwai.js,yes,yes,yes,yes,no,yes,yes,no
lfg.js,yes,yes,yes,yes,no,yes,yes,no
linkedin.js,yes,yes,yes,yes,no,yes,no,no
livepush.js,yes,no,yes,yes,no,yes,no,no
livestorm.js,yes,yes,yes,yes,no,yes,no,no
livestream.js,yes,yes,yes,yes,no,yes,no,no
locals.js,yes,yes,yes,yes,no,yes,yes,no
